left_back_corner_x1,left_back_corner_y1,left_back_corner_z1,right_back_corner_x1,right_back_corner_y1,right_back_corner_z1,left_front_corner_x1,left_front_corner_y1,left_front_corner_z1,right_front_corner_x1,right_front_corner_y1,right_front_corner_z1,force_1,force_2,force_3,force_4,force_5,force_6,left_back_corner_x2,left_back_corner_y2,left_back_corner_z2,right_back_corner_x2,right_back_corner_y2,right_back_corner_z2,left_front_corner_x2,left_front_corner_y2,left_front_corner_z2,right_front_corner_x2,right_front_corner_y2,right_front_corner_z2,predicted force_1,predicted force_2,predicted force_3,predicted force_4,predicted force_5,predicted force_6
2697.864627,-724.102367,1.99999,2698.297129,-722.1496914,1.999989999,2695.911951,-723.6698652,1.999989998,2696.344453,-721.7171895,1.999989997,232,-232,240,232,-232,240,2699.44162,-724.4538983,1.99999042,2699.875397,-722.5015054,1.999991778,2697.489227,-724.0201218,1.999979771,2697.923004,-722.0677289,1.999981129,225.8565063,-226.9647522,232.2502747,225.8389282,-226.9835815,232.2664185
2699.44163,-724.4538986,1.99999,2699.875408,-722.501506,1.999989999,2697.489238,-724.0201209,1.999989998,2697.923015,-722.0677283,1.999989997,232,-216,232,232,-216,232,2700.739306,-724.7454491,1.999990418,2701.175414,-722.7935757,1.999991779,2698.787433,-724.3093407,1.999979599,2699.223541,-722.3574674,1.99998096,225.1363983,-226.0684967,231.0401459,225.111496,-226.0817719,231.0467377
